Nr:       |Name:              |UserName:            |Year:       |Grade:       |Hash: 
1         |Lou                |lhasson9             |1           |7.77         |95f14ce6f8a45928fcdf58ff506f19aa52fc262abc1ff1c16f99d1af12dd1cca
2         |Noam               |nscocrofta           |1           |8.1          |d141c260b06e5ed07372f747d38ea66b2a665721b768d04748773fdb18c04079
3         |Kelly              |kmcilwrathh          |1           |8.54         |483cccdc610b9e0f2162f938715b746b6bf3462ca52ce0fc0de25bb56da541fa
4         |Ian                |irobshaw1            |1           |8.8          |5f2d855021a4aeb9fbdf607f1a41d64d37cf21e27c92cafd6ffd10e87ae44ef9
5         |Isobel             |isevery4             |1           |8.82         |41f893b5efed56592b75058af6506aa7d6ec4e6cbb6c9622014d32ca30f4255f
6         |Gery               |gcamplinge           |1           |8.84         |a9fa06ce29f9da3bfceaeca8eb41e1208a58a816e1e2fb603ab1b56d913c23e1
7         |Isidore            |inonod               |2           |7            |46c58432c9bf3900d7fa75901198187b6872e1e452d34111f171bb56e62eaf5a
8         |Alikee             |apeterim             |2           |7.89         |704a9ace5336bb228c2a192e86c5b888a737b4184da17716566308c8d5941eb3
9         |Minnie             |mwaskett3            |2           |8.32         |019e0fb548d41377fdaa428e9339ad347551064f614338c4326844371cbc7717
10        |Taylor             |tlindenstraussc      |2           |8.38         |29b3768bafaa8a7596a90e82db5874305a9ba00ae6429284dc3dbdd993bacdae
11        |Ewell              |ewaud6               |2           |9.23         |d6fc340c7dfbb1c5f4b434f8db801f78b16ee91cf84655a40309fdd03840e3b2
12        |Silas              |sphilips8            |2           |9.93         |f3317cf885141633a6b68cb90f52db19c757369c807f9ad87761b516915bb763
13        |Paulo              |plangfatg            |3           |7.46         |be96a67c06787d12e5a56e51c56da21ebc41251a81ddfcb1d643f85664fc9b0d
14        |Wilie              |wbarbej              |3           |7.58         |25f2bd849a6e5851cdd3eec0ffe1ec0728857e781760309d2c3eab26de283c86
15        |Sophey             |scastleman0          |3           |7.71         |395538c005add1933a633026284c10becb2e91310d715564f7d103c5b4179a28
16        |Kelbee             |ktracyk              |3           |9.58         |2234f14f8475be8cb98bccf1f7bb2610789475f81371c7e324eb15df4e421edd
17        |Aggy               |aaldwicki            |3           |9.74         |bb11d3c95538a73ada6fcef224244a8a5ee5f4ce3808b1d1bc9b6bf5ad5aa43b
18        |Hervey             |hphettis7            |3           |9.77         |b8c749d1083b558c0b38f9a45fca69f049fc055e93f4cf61bb3a8845ed64f467
19        |Cordelia           |coakebyb             |4           |7.21         |4ea940744621bd2079d7c410b9104a61c79798a9e695f833ced15a3e85e8b125
20        |Flin               |ffillaryf            |4           |7.56         |33cfcaa8bac83c43bb61d772cc9ac0b4b00759720e8327d34f014a64169d74c8
21        |Florentia          |fbroomero            |4           |8.1          |d3c26497506c71bdb607abc0c1d43ae755caa678647ecb4737c9c7ecf9c519b8
22        |Egan               |emclarnon2           |4           |8.41         |a2ad193415c970d134bdf381f80ab2f440e4a2e774b944d5e34a0a4742992cda
23        |Chickie            |cklimshukl           |4           |8.51         |fc6090f77fa021f26eccef28de27c138b8f5a12e64d05596c936c922b510bcaa
24        |Luke               |lbuxam5              |4           |8.96         |0e9f2cddb5aa35a56cf83ad25a9b040a53c8bdcf77083b0d71e1162aaab23a54
25        |Lorri              |lhasten              |4           |9.43         |252983e19850b700470f331b1354681781dace36d0059c98b61cf568ffb91d1b
